연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월
86,3,335,대치,381913,384776,460415,439748,435870,447888,427048,415371,409311,433830,453377,427277
87,3,336,학여울,61376,66303,87655,99867,96020,90182,71860,62343,79033,97120,103769,88021
88,3,337,대청,314591,307769,390102,384726,367818,391339,360343,345133,347437,379532,408106,398472
89,3,338,일원,336610,320102,402415,400798,377399,410415,366817,353897,356357,379112,417326,409138
90,3,339,수서,539641,549427,706153,709564,701295,719889,634969,612206,613615,701766,744250,731928
91,3,340,가락시장(3),296110,292220,359457,350162,333987,348614,312773,296571,292261,321851,353405,343452
92,3,341,경찰병원,283633,265948,326171,320883,301366,314429,288522,274517,267730,290668,321788,315669
93,3,342,오금(3),191085,183509,230471,227282,217981,227328,207798,197485,197092,215965,236211,228520
94,4,409,당고개,386486,388105,484227,483856,484346,489073,453945,434425,438146,474469,492995,482660
95,4,410,상계,625302,616081,758566,754978,737101,754714,692939,660467,676017,730192,760764,748432
96,4,411,노원(4),584415,598943,732441,714598,715707,715921,656186,630227,633497,697640,723410,722297
97,4,412,창동,926274,932986,1136685,1107608,1093884,1112280,1004734,966241,975701,1060123,1125964,1102149
98,4,413,쌍문,991202,975754,1196588,1178876,1151288,1185512,1088292,1039932,1045675,1136022,1191056,1185487
99,4,414,수유,1178732,1162745,1425547,1406053,1379947,1400474,1291740,1241928,1251678,1358672,1420996,1419690
100,4,415,미아,500364,492701,618635,607658,594213,594951,547146,522115,538960,583979,604454,599132
101,4,416,미아사거리,936860,924789,1141867,1126730,1106990,1122647,1025403,980241,996657,1093263,1138744,1130383
102,4,417,길음,668755,661223,835434,824953,798269,813820,724706,695045,716287,784954,846062,819231
103,4,418,성신여대입구,652178,663440,832175,806486,814974,799471,726673,702557,718047,802734,846698,830406
104,4,419,한성대입구,459434,464264,593563,591854,588315,588795,511540,495076,514601,570708,604902,579068
105,4,420,혜화,1036673,1113283,1397660,1349426,1381058,1381776,1211734,1200075,1197999,1371988,1525293,1481181
106,4,421,동대문(4),658256,642914,856823,841291,832541,849300,773247,680689,707006,799944,834936,792625
107,4,422,동대문역사문화공원(4),418044,413682,517909,499518,495821,512291,462305,440289,439991,489163,529970,540067
108,4,423,충무로(4),822207,798776,1022701,1012767,956152,1009712,902983,848454,858161,957971,1065774,1013252
109,4,424,명동,580121,608050,749319,764878,737829,796965,662907,639107,677961,770494,863070,1012032
110,4,425,회현,803663,798426,1060806,1048057,1016520,1060124,924413,850927,881226,1012660,1063311,1155636
111,4,426,서울역(4),410500,414173,516016,518784,498031,525235,448802,426703,427421,494942,582526,551618
112,4,427,숙대입구,414147,423186,551265,537620,520553,537780,466296,444080,458624,509919,568255,541300
